add,del,files,url
2,2,1,https://github.com/developer-portal/website/pull/108
1,1,1,https://github.com/bdukes/Website-Optimizer/pull/8
2,0,1,https://github.com/makeomatic/makeomatic.ru/pull/30
2,2,2,https://github.com/wesbos/JavaScript30/pull/394
1,1,1,https://github.com/openstreetmap/openstreetmap-website/pull/2870
1,1,1,https://github.com/appveyor/website/pull/761
1,1,1,https://github.com/hasgeek/funnel/pull/919
17,17,1,https://github.com/kisslinux/website/pull/71
1,1,1,https://github.com/vanruby/vanruby.github.io/pull/65
1,1,1,https://github.com/stormpath/stormpath-flask/pull/100
2,55,1,https://github.com/videolan/vlc/pull/115
2,2,1,https://github.com/dipy/dipy_web/pull/82
2,0,1,https://github.com/jonbarron/website/pull/54
16,57,1,https://github.com/videolan/vlc/pull/114
4,0,1,https://github.com/bdukes/Website-Optimizer/pull/7
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/84
1,1,1,https://github.com/whatwg/html/pull/6001
1,1,1,https://github.com/parcel-bundler/website/pull/702
1,1,1,https://github.com/nim-lang/website/pull/222
2,0,1,https://github.com/oVirt/ovirt-site/pull/2360
1,2,1,https://github.com/vim/vim/pull/7058
1,1,1,https://github.com/meraki-analytics/cassiopeia/pull/346
1,0,1,https://github.com/dipy/dipy_web/pull/81
1,1,1,https://github.com/grails/grails-static-website/pull/157
2,2,1,https://github.com/designmodo/html-website-templates/pull/23
2,2,1,https://github.com/AlexKvazos/VanillaToasts/pull/32
113,0,1,https://github.com/whatwg/html/pull/6000
28,18,2,https://github.com/WebKitGTK/webkitgtk.org/pull/8
3,3,1,https://github.com/cuberite/users-manual/pull/114
1,1,1,https://github.com/DevOpsBootcamp/website/pull/171
1,1,1,https://github.com/BookStackApp/website/pull/81
1,1,1,https://github.com/neon-bindings/website/pull/171
9,9,1,https://github.com/designmodo/html-website-templates/pull/22
4,1,2,https://github.com/designingsean/Timeclock/pull/4
2,0,1,https://github.com/openfoodfacts/openfoodfacts-cordova-app-old-with-blob/pull/29
28,0,1,https://github.com/grpc/grpc/pull/24301
3,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/83
3,3,1,https://github.com/grails/grails-static-website/pull/156
1,8,1,https://github.com/AlexKvazos/VanillaToasts/pull/31
6,1,1,https://github.com/smoke-trees/website/pull/44
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/82
3,3,1,https://github.com/parcel-bundler/website/pull/701
1,0,1,https://github.com/OCA/website-themes/pull/82
1,1,1,https://github.com/OCA/website-themes/pull/81
9,9,1,https://github.com/ooni/ooni.org/pull/623
4,0,1,https://github.com/wesbos/dad-jokes/pull/216
2,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/81
2,2,1,https://github.com/grails/grails-static-website/pull/155
1,1,1,https://github.com/OCA/website-themes/pull/80
1,1,1,https://github.com/dipy/dipy_web/pull/80
21,0,3,https://github.com/fork-maintainers/iceraven-browser/pull/196
1,1,1,https://github.com/SethClydesdale/genki-study-resources/pull/92
3,3,1,https://github.com/vanruby/vanruby.github.io/pull/64
1,0,1,https://github.com/powerbot/RSBot-API/pull/2185
71,0,1,https://github.com/bkimminich/juice-shop/pull/1481
1,1,1,https://github.com/boostorg/website/pull/552
1,1,1,https://github.com/techqueria/website/pull/762
13,13,1,https://github.com/stl-public-meetings/city-scrapers-stl/pull/109
1,1,1,https://github.com/toricls/pingbot/pull/17
1,1,1,https://github.com/designmodo/html-website-templates/pull/21
4,0,1,https://github.com/wesbos/dad-jokes/pull/215
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/80
1,1,1,https://github.com/loadimpact/k6-docs/pull/127
1,1,1,https://github.com/dipakkr/A-to-Z-Resources-for-Students/pull/1303
1,0,1,https://github.com/code4romania/monitorizare-vot/pull/300
1,1,1,https://github.com/kisslinux/website/pull/70
3,2,1,https://github.com/wurstmineberg/wurstmineberg.de/pull/25
2,0,1,https://github.com/whatwg/html/pull/5999
1,1,1,https://github.com/OCA/website-themes/pull/79
1,1,1,https://github.com/WebAssembly/website/pull/212
1,1,1,https://github.com/pyviz-dev/nbsite/pull/179
1,0,1,https://github.com/OpenTTD/website/pull/172
1,1,1,https://github.com/jonbarron/website/pull/53
3,3,1,https://github.com/jakevdp/PythonDataScienceHandbook/pull/267
2,0,1,https://github.com/OCA/website-themes/pull/78
2,0,1,https://github.com/nextcloud/nextcloud.com/pull/1363
0,0,0,https://github.com/getify/Functional-Light-JS/pull/197
1,1,1,https://github.com/blitz-js/blitzjs.com/pull/208
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/79
1,0,1,https://github.com/sous-chefs/java/pull/640
1,0,1,https://github.com/actix/actix-website/pull/193
24,0,1,https://github.com/grpc/grpc/pull/24300
1,1,1,https://github.com/BookStackApp/website/pull/80
1,1,1,https://github.com/jonbarron/website/pull/52
3,0,1,https://github.com/ros2/rcutils/pull/296
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/78
7,0,1,https://github.com/wesbos/dad-jokes/pull/214
1,1,1,https://github.com/jonbarron/website/pull/51
13,0,1,https://github.com/championshuttler/docker-basicLearning/pull/2
24,1,2,https://github.com/timhawes/MqttNet/pull/1
4,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/77
6,0,1,https://github.com/wesbos/dad-jokes/pull/213
1,0,1,https://github.com/grpc/grpc/pull/24298
25,0,3,https://github.com/fork-maintainers/iceraven-browser/pull/195
1,1,1,https://github.com/grails/grails-core/pull/11628
3,2,2,https://github.com/VinceG/Bootstrap-ecommerce-theme/pull/1
1,1,1,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/70
1,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/76
1,1,1,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/69
7,0,1,https://github.com/wesbos/dad-jokes/pull/212
1,1,1,https://github.com/OCA/website/pull/774
17,0,1,https://github.com/Python-World/python-mini-projects/pull/283
2,2,1,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/66
1,0,1,https://github.com/weyert/passenger-turbogears-example/pull/3
4,5,1,https://github.com/nim-lang/website/pull/221
6,0,1,https://github.com/verekia/initializr-website/pull/19
11,0,1,https://github.com/wesbos/dad-jokes/pull/211
1,1,1,https://github.com/parcel-bundler/website/pull/700
1,1,1,https://github.com/enable3d/enable3d-website/pull/43
2,2,2,https://github.com/camunda/camunda-bpm-platform/pull/1038
17,0,1,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/65
12,0,1,https://github.com/kaustubhgupta/Hacktoberfest2020_/pull/63
1,1,1,https://github.com/smoke-trees/website/pull/43
10,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/75
7,0,1,https://github.com/jonbarron/website/pull/49
1,1,1,https://github.com/techqueria/website/pull/761
2,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/74
1,1,1,https://github.com/rust-lang/rustc-perf/pull/778
2,0,1,https://github.com/dipakkr/A-to-Z-Resources-for-Students/pull/1302
3,11,1,https://github.com/owntracks/android/pull/860
2,2,1,https://github.com/faif/python-patterns/pull/355
1,0,1,https://github.com/OCA/website-cms/pull/116
3,3,1,https://github.com/grails/grails-static-website/pull/154
3,0,1,https://github.com/owntracks/android/pull/859
1,0,1,https://github.com/OCA/website-themes/pull/77
1,1,1,https://github.com/bartol/bdeak.net/pull/20
3,1,1,https://github.com/PHPGangsta/WebsiteToImage/pull/73
8,1,1,https://github.com/owntracks/android/pull/858
1,1,1,https://github.com/TokTok/website/pull/237
